route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_load_information,wheelchair_accessible,bikes_allowed
6,2025_01_13-DX-MVS-Weekday-022,1682930,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2025_01_13-DX-MVS-Weekday-022,1682882,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2025_01_13-DX-MVS-Weekday-022,1682931,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2025_01_13-DX-MVS-Weekday-022,1682883,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2025_01_13-DX-MVS-Weekday-022,1682932,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2025_01_13-DX-MVS-Weekday-022,1682884,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2025_01_13-DX-MVS-Weekday-022,1682933,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2025_01_13-DX-MVS-Weekday-022,1682885,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2025_01_13-DX-MVS-Weekday-022,1682934,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2025_01_13-DX-MVS-Weekday-022,1682886,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2025_01_13-DX-MVS-Weekday-022,1682935,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2025_01_13-DX-MVS-Weekday-022,1682887,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2025_01_13-DX-MVS-Weekday-022,1682936,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2025_01_13-DX-MVS-Weekday-022,1682888,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2025_01_13-DX-MVS-Weekday-022,1682937,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2025_01_13-DX-MVS-Weekday-022,1682889,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2025_01_13-DX-MVS-Weekday-022,1682938,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2025_01_13-DX-MVS-Weekday-022,1682890,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2025_01_13-DX-MVS-Weekday-022,1682939,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2025_01_13-DX-MVS-Weekday-022,1682891,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2025_01_13-DX-MVS-Weekday-022,1682940,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2025_01_13-DX-MVS-Weekday-022,1682892,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2025_01_13-DX-MVS-Weekday-022,1682950,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2025_01_13-DX-MVS-Weekday-022,1682893,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2025_01_13-DX-MVS-Weekday-022,1682941,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2025_01_13-DX-MVS-Weekday-022,1682894,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2025_01_13-DX-MVS-Weekday-022,1682951,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2025_01_13-DX-MVS-Weekday-022,1682895,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2025_01_13-DX-MVS-Weekday-022,1682942,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2025_01_13-DX-MVS-Weekday-022,1682896,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2025_01_13-DX-MVS-Weekday-022,1682943,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2025_01_13-DX-MVS-Weekday-022,1682897,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2025_01_13-DX-MVS-Weekday-022,1682944,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2025_01_13-DX-MVS-Weekday-022,1682899,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2025_01_13-DX-MVS-Weekday-022,1682945,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2025_01_13-DX-MVS-Weekday-022,1682900,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2025_01_13-DX-MVS-Weekday-022,1682952,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2025_01_13-DX-MVS-Weekday-022,1682901,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2025_01_13-DX-MVS-Weekday-022,1682946,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2025_01_13-DX-MVS-Weekday-022,1682898,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2025_01_13-DX-MVS-Weekday-022,1682947,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2025_01_13-DX-MVS-Weekday-022,1682902,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2025_01_13-DX-MVS-Weekday-022,1682948,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2025_01_13-DX-MVS-Weekday-022,1682906,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2025_01_13-DX-MVS-Weekday-022,1682949,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2025_01_13-DX-MVS-Weekday-022,1682907,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2025_01_13-DX-MVS-Weekday-022,1682953,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2025_01_13-DX-MVS-Weekday-022,1682903,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2025_01_13-DX-MVS-Weekday-022,1682954,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2025_01_13-DX-MVS-Weekday-022,1682908,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2025_01_13-DX-MVS-Weekday-022,1682955,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2025_01_13-DX-MVS-Weekday-022,1682905,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2025_01_13-DX-MVS-Weekday-022,1682956,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2025_01_13-DX-MVS-Weekday-022,1682909,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2025_01_13-DX-MVS-Weekday-022,1682957,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2025_01_13-DX-MVS-Weekday-022,1682904,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2025_01_13-DX-MVS-Weekday-022,1682958,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2025_01_13-DX-MVS-Weekday-022,1682910,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2025_01_13-DX-MVS-Weekday-022,1682959,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2025_01_13-DX-MVS-Weekday-022,1682911,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2025_01_13-DX-MVS-Weekday-022,1682960,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
6,2025_01_13-DX-MVS-Weekday-022,1682961,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
6,2025_01_13-DX-MVS-Weekday-022,1682962,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
6,2025_01_13-DX-MVS-Weekday-022,1682963,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
3,2025_01_13-DX-MVS-Weekday-022,1682498,"OAK Airport / Richmond",0,,003A_shp,,0,0
4,2025_01_13-DX-MVS-Weekday-022,1682559,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2025_01_13-DX-MVS-Weekday-022,1682502,"OAK Airport / Richmond",0,,003B_shp,,0,0
4,2025_01_13-DX-MVS-Weekday-022,1682503,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2025_01_13-DX-MVS-Weekday-022,1682443,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2025_01_13-DX-MVS-Weekday-022,1682504,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2025_01_13-DX-MVS-Weekday-022,1682444,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2025_01_13-DX-MVS-Weekday-022,1682505,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2025_01_13-DX-MVS-Weekday-022,1682445,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2025_01_13-DX-MVS-Weekday-022,1682506,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2025_01_13-DX-MVS-Weekday-022,1682446,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2025_01_13-DX-MVS-Weekday-022,1682507,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2025_01_13-DX-MVS-Weekday-022,1682447,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2025_01_13-DX-MVS-Weekday-022,1682508,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2025_01_13-DX-MVS-Weekday-022,1682448,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2025_01_13-DX-MVS-Weekday-022,1682509,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2025_01_13-DX-MVS-Weekday-022,1682449,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2025_01_13-DX-MVS-Weekday-022,1682510,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2025_01_13-DX-MVS-Weekday-022,1682450,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2025_01_13-DX-MVS-Weekday-022,1682511,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2025_01_13-DX-MVS-Weekday-022,1682451,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2025_01_13-DX-MVS-Weekday-022,1682512,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2025_01_13-DX-MVS-Weekday-022,1682452,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2025_01_13-DX-MVS-Weekday-022,1682513,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2025_01_13-DX-MVS-Weekday-022,1682453,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2025_01_13-DX-MVS-Weekday-022,1682514,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2025_01_13-DX-MVS-Weekday-022,1682454,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2025_01_13-DX-MVS-Weekday-022,1682515,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2025_01_13-DX-MVS-Weekday-022,1682455,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2025_01_13-DX-MVS-Weekday-022,1682516,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2025_01_13-DX-MVS-Weekday-022,1682456,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2025_01_13-DX-MVS-Weekday-022,1682517,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2025_01_13-DX-MVS-Weekday-022,1682457,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2025_01_13-DX-MVS-Weekday-022,1682518,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2025_01_13-DX-MVS-Weekday-022,1682458,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2025_01_13-DX-MVS-Weekday-022,1682519,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2025_01_13-DX-MVS-Weekday-022,1682459,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2025_01_13-DX-MVS-Weekday-022,1682520,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2025_01_13-DX-MVS-Weekday-022,1682460,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2025_01_13-DX-MVS-Weekday-022,1682521,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2025_01_13-DX-MVS-Weekday-022,1682461,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2025_01_13-DX-MVS-Weekday-022,1682522,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2025_01_13-DX-MVS-Weekday-022,1682462,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2025_01_13-DX-MVS-Weekday-022,1682523,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2025_01_13-DX-MVS-Weekday-022,1682463,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2025_01_13-DX-MVS-Weekday-022,1682524,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2025_01_13-DX-MVS-Weekday-022,1682464,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2025_01_13-DX-MVS-Weekday-022,1682525,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2025_01_13-DX-MVS-Weekday-022,1682465,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2025_01_13-DX-MVS-Weekday-022,1682526,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2025_01_13-DX-MVS-Weekday-022,1682466,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2025_01_13-DX-MVS-Weekday-022,1682527,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2025_01_13-DX-MVS-Weekday-022,1682467,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2025_01_13-DX-MVS-Weekday-022,1682528,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2025_01_13-DX-MVS-Weekday-022,1682468,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2025_01_13-DX-MVS-Weekday-022,1682529,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2025_01_13-DX-MVS-Weekday-022,1682469,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2025_01_13-DX-MVS-Weekday-022,1682530,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2025_01_13-DX-MVS-Weekday-022,1682470,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2025_01_13-DX-MVS-Weekday-022,1682532,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2025_01_13-DX-MVS-Weekday-022,1682471,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2025_01_13-DX-MVS-Weekday-022,1682533,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2025_01_13-DX-MVS-Weekday-022,1682472,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2025_01_13-DX-MVS-Weekday-022,1682534,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2025_01_13-DX-MVS-Weekday-022,1682474,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2025_01_13-DX-MVS-Weekday-022,1682531,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2025_01_13-DX-MVS-Weekday-022,1682475,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2025_01_13-DX-MVS-Weekday-022,1682535,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2025_01_13-DX-MVS-Weekday-022,1682476,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2025_01_13-DX-MVS-Weekday-022,1682536,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2025_01_13-DX-MVS-Weekday-022,1682473,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2025_01_13-DX-MVS-Weekday-022,1682537,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2025_01_13-DX-MVS-Weekday-022,1682477,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2025_01_13-DX-MVS-Weekday-022,1682539,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2025_01_13-DX-MVS-Weekday-022,1682478,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2025_01_13-DX-MVS-Weekday-022,1682540,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2025_01_13-DX-MVS-Weekday-022,1682479,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2025_01_13-DX-MVS-Weekday-022,1682541,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2025_01_13-DX-MVS-Weekday-022,1682480,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2025_01_13-DX-MVS-Weekday-022,1682538,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2025_01_13-DX-MVS-Weekday-022,1682483,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2025_01_13-DX-MVS-Weekday-022,1682542,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2025_01_13-DX-MVS-Weekday-022,1682481,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2025_01_13-DX-MVS-Weekday-022,1682543,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2025_01_13-DX-MVS-Weekday-022,1682484,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2025_01_13-DX-MVS-Weekday-022,1682561,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2025_01_13-DX-MVS-Weekday-022,1682485,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2025_01_13-DX-MVS-Weekday-022,1682562,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2025_01_13-DX-MVS-Weekday-022,1682482,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2025_01_13-DX-MVS-Weekday-022,1682560,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2025_01_13-DX-MVS-Weekday-022,1682486,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2025_01_13-DX-MVS-Weekday-022,1682544,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2025_01_13-DX-MVS-Weekday-022,1682487,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2025_01_13-DX-MVS-Weekday-022,1682545,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2025_01_13-DX-MVS-Weekday-022,1682488,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2025_01_13-DX-MVS-Weekday-022,1682546,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2025_01_13-DX-MVS-Weekday-022,1682489,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2025_01_13-DX-MVS-Weekday-022,1682547,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2025_01_13-DX-MVS-Weekday-022,1682490,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2025_01_13-DX-MVS-Weekday-022,1682548,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2025_01_13-DX-MVS-Weekday-022,1682491,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2025_01_13-DX-MVS-Weekday-022,1682549,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2025_01_13-DX-MVS-Weekday-022,1682492,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2025_01_13-DX-MVS-Weekday-022,1682550,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2025_01_13-DX-MVS-Weekday-022,1682493,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2025_01_13-DX-MVS-Weekday-022,1682551,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2025_01_13-DX-MVS-Weekday-022,1682494,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2025_01_13-DX-MVS-Weekday-022,1682552,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2025_01_13-DX-MVS-Weekday-022,1682495,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2025_01_13-DX-MVS-Weekday-022,1682553,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2025_01_13-DX-MVS-Weekday-022,1682496,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2025_01_13-DX-MVS-Weekday-022,1682554,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2025_01_13-DX-MVS-Weekday-022,1682497,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2025_01_13-DX-MVS-Weekday-022,1682555,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2025_01_13-DX-MVS-Weekday-022,1682500,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2025_01_13-DX-MVS-Weekday-022,1682556,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2025_01_13-DX-MVS-Weekday-022,1682501,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2025_01_13-DX-MVS-Weekday-022,1682557,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2025_01_13-DX-MVS-Weekday-022,1682499,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2025_01_13-DX-MVS-Weekday-022,1682558,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
1,2025_01_13-DX-MVS-Weekday-022,1682335,"San Francisco International Airport",1,,001F_shp,,0,0
2,2025_01_13-DX-MVS-Weekday-022,1682574,"San Francisco / Antioch",0,,002C_shp,,0,0
1,2025_01_13-DX-MVS-Weekday-022,1682336,"San Francisco International Airport",1,,001F_shp,,0,0
2,2025_01_13-DX-MVS-Weekday-022,1682573,"SF / Pittsburg/Bay Point",0,,002D_shp,,0,0
1,2025_01_13-DX-MVS-Weekday-022,1682337,"San Francisco International Airport",1,,001B_shp,,0,0
2,2025_01_13-DX-MVS-Weekday-022,1682576,"SF / Pittsburg/Bay Point",0,,002B_shp,,0,0
1,2025_01_13-DX-MVS-Weekday-022,1682362,"San Francisco International Airport",1,,001A_shp,,0,0
2,2025_01_13-DX-MVS-Weekday-022,1682575,"San Francisco / Antioch",0,,002C_shp,,0,0
1,2025_01_13-DX-MVS-Weekday-022,1682338,"San Francisco International Airport",1,,001B_shp,,0,0
2,2025_01_13-DX-MVS-Weekday-022,1682607,"San Francisco / Antioch",0,,002A_shp,,0,0
1,2025_01_13-DX-MVS-Weekday-022,1682363,"San Francisco International Airport",1,,001A_shp,,0,0
2,2025_01_13-DX-MVS-Weekday-022,1682577,"SF / Pittsburg/Bay Point",0,,002B_shp,,0,0
1,2025_01_13-DX-MVS-Weekday-022,1682339,"San Francisco International Airport",1,,001B_shp,,0,0
2,2025_01_13-DX-MVS-Weekday-022,1682608,"San Francisco / Antioch",0,,002A_shp,,0,0
1,2025_01_13-DX-MVS-Weekday-022,1682364,"San Francisco International Airport",1,,001A_shp,,0,0
2,2025_01_13-DX-MVS-Weekday-022,1682578,"SF / Pittsburg/Bay Point",0,,002B_shp,,0,0
1,2025_01_13-DX-MVS-Weekday-022,1682340,"San Francisco International Airport",1,,001B_shp,,0,0
2,2025_01_13-DX-MVS-Weekday-022,1682609,"San Francisco / Antioch",0,,002A_shp,,0,0
1,2025_01_13-DX-MVS-Weekday-022,1682365,"San Francisco International Airport",1,,001A_shp,,0,0
2,2025_01_13-DX-MVS-Weekday-022,1682579,"SF / Pittsburg/Bay Point",0,,002B_shp,,0,0
1,2025_01_13-DX-MVS-Weekday-022,1682341,"San Francisco International Airport",1,,001B_shp,,0,0
2,2025_01_13-DX-MVS-Weekday-022,1682610,"San Francisco / Antioch",0,,002A_shp,,0,0
1,2025_01_13-DX-MVS-Weekday-022,1682366,"San Francisco International Airport",1,,001A_shp,,0,0
2,2025_01_13-DX-MVS-Weekday-022,1682580,"SF / Pittsburg/Bay Point",0,,002B_shp,,0,0
1,2025_01_13-DX-MVS-Weekday-022,1682342,"San Francisco International Airport",1,,001B_shp,,0,0
2,2025_01_13-DX-MVS-Weekday-022,1682611,"San Francisco / Antioch",0,,002A_shp,,0,0
1,2025_01_13-DX-MVS-Weekday-022,1682367,"San Francisco International Airport",1,,001A_shp,,0,0
2,2025_01_13-DX-MVS-Weekday-022,1682581,"SF / Pittsburg/Bay Point",0,,002B_shp,,0,0
1,2025_01_13-DX-MVS-Weekday-022,1682343,"San Francisco International Airport",1,,001B_shp,,0,0
2,2025_01_13-DX-MVS-Weekday-022,1682612,"San Francisco / Antioch",0,,002A_shp,,0,0
