fare_id,price,currency_type,payment_method,transfers,transfer_duration
312,2.90,USD,1,,
313,3.15,USD,1,,
314,3.15,USD,1,,
315,3.15,USD,1,,
316,3.70,USD,1,,
317,3.95,USD,1,,
318,4.35,USD,1,,
319,4.60,USD,1,,
320,5.00,USD,1,,
321,5.35,USD,1,,
322,5.95,USD,1,,
323,6.40,USD,1,,
324,4.95,USD,1,,
325,6.35,USD,1,,
326,6.40,USD,1,,
327,5.80,USD,1,,
328,6.10,USD,1,,
329,5.55,USD,1,,
330,5.05,USD,1,,
331,4.85,USD,1,,
332,4.40,USD,1,,
333,3.95,USD,1,,
334,2.95,USD,1,,
335,3.35,USD,1,,
336,5.55,USD,1,,
337,5.55,USD,1,,
338,5.55,USD,1,,
339,5.55,USD,1,,
340,5.65,USD,1,,
341,5.70,USD,1,,
342,5.85,USD,1,,
343,5.95,USD,1,,
344,6.10,USD,1,,
345,11.45,USD,1,,
346,6.90,USD,1,,
347,7.80,USD,1,,
348,8.10,USD,1,,
349,6.60,USD,1,,
350,7.40,USD,1,,
351,6.10,USD,1,,
352,6.45,USD,1,,
353,12.20,USD,1,,
354,6.85,USD,1,,
355,5.95,USD,1,,
356,2.40,USD,1,,
357,2.40,USD,1,,
358,7.10,USD,1,,
359,2.40,USD,1,,
360,2.40,USD,1,,
361,2.40,USD,1,,
362,2.55,USD,1,,
363,2.80,USD,1,,
364,2.80,USD,1,,
365,2.80,USD,1,,
366,3.40,USD,1,,
367,3.75,USD,1,,
368,4.15,USD,1,,
369,4.40,USD,1,,
370,4.80,USD,1,,
371,5.15,USD,1,,
372,5.75,USD,1,,
373,6.15,USD,1,,
374,4.75,USD,1,,
375,6.15,USD,1,,
376,6.20,USD,1,,
377,5.60,USD,1,,
378,5.90,USD,1,,
379,5.35,USD,1,,
380,4.85,USD,1,,
381,4.65,USD,1,,
382,4.20,USD,1,,
383,3.65,USD,1,,
384,2.65,USD,1,,
385,3.05,USD,1,,
386,5.35,USD,1,,
387,5.35,USD,1,,
388,5.35,USD,1,,
389,5.35,USD,1,,
390,5.40,USD,1,,
391,5.50,USD,1,,
392,5.70,USD,1,,
393,5.75,USD,1,,
394,5.90,USD,1,,
395,11.25,USD,1,,
396,6.70,USD,1,,
397,7.60,USD,1,,
398,7.90,USD,1,,
399,6.40,USD,1,,
400,7.20,USD,1,,
401,5.90,USD,1,,
402,6.20,USD,1,,
403,11.95,USD,1,,
404,6.60,USD,1,,
405,5.70,USD,1,,
406,2.40,USD,1,,
407,2.40,USD,1,,
408,2.40,USD,1,,
409,7.10,USD,1,,
410,2.40,USD,1,,
411,2.40,USD,1,,
412,2.40,USD,1,,
413,2.40,USD,1,,
414,2.40,USD,1,,
415,2.40,USD,1,,
416,3.00,USD,1,,
417,3.40,USD,1,,
418,3.90,USD,1,,
419,4.20,USD,1,,
420,4.55,USD,1,,
421,4.90,USD,1,,
422,5.50,USD,1,,
423,5.95,USD,1,,
424,4.55,USD,1,,
425,5.90,USD,1,,
426,6.00,USD,1,,
427,5.35,USD,1,,
428,5.65,USD,1,,
429,5.10,USD,1,,
430,4.60,USD,1,,
431,4.40,USD,1,,
432,3.95,USD,1,,
433,3.25,USD,1,,
434,2.40,USD,1,,
435,2.65,USD,1,,
436,5.10,USD,1,,
437,5.10,USD,1,,
438,5.10,USD,1,,
439,5.10,USD,1,,
440,5.20,USD,1,,
441,5.25,USD,1,,
442,5.45,USD,1,,
443,5.50,USD,1,,
444,5.70,USD,1,,
445,10.85,USD,1,,
446,6.45,USD,1,,
447,7.35,USD,1,,
448,7.65,USD,1,,
449,6.20,USD,1,,
450,6.95,USD,1,,
451,5.80,USD,1,,
452,6.15,USD,1,,
453,11.90,USD,1,,
454,6.55,USD,1,,
455,5.65,USD,1,,
456,2.40,USD,1,,
457,2.40,USD,1,,
458,2.40,USD,1,,
459,2.40,USD,1,,
460,7.10,USD,1,,
461,2.40,USD,1,,
462,2.40,USD,1,,
463,2.40,USD,1,,
464,2.40,USD,1,,
465,2.40,USD,1,,
466,2.85,USD,1,,
467,3.20,USD,1,,
468,3.80,USD,1,,
469,4.15,USD,1,,
470,4.45,USD,1,,
471,4.85,USD,1,,
472,5.45,USD,1,,
473,5.85,USD,1,,
474,4.50,USD,1,,
475,5.85,USD,1,,
476,5.90,USD,1,,
477,5.30,USD,1,,
478,5.60,USD,1,,
479,5.05,USD,1,,
480,4.50,USD,1,,
481,4.35,USD,1,,
482,3.85,USD,1,,
483,3.10,USD,1,,
484,2.40,USD,1,,
485,2.50,USD,1,,
486,5.00,USD,1,,
487,5.00,USD,1,,
488,5.00,USD,1,,
489,5.00,USD,1,,
490,5.15,USD,1,,
491,5.20,USD,1,,
492,5.35,USD,1,,
493,5.45,USD,1,,
494,5.60,USD,1,,
